,amt_training_data,classifier_name,feature_name,feature_selector,result,split
371,0.7000000000000001,Decision Tree,ngrams,None,0.6878612716763006,4
372,0.7000000000000001,Random Forest,ngrams,None,0.3815028901734104,4
373,0.7000000000000001,AdaBoost,ngrams,None,0.6473988439306358,4
374,0.7000000000000001,Naive Bayes,ngrams,None,0.7283236994219653,4
375,0.7000000000000001,LDA,ngrams,None,0.6184971098265896,4
376,0.8,Nearest Neighbors,ngrams,None,0.653179190751445,4
377,0.8,Linear SVM,ngrams,None,0.791907514450867,4
378,0.8,RBF SVM,ngrams,None,0.35260115606936415,4
379,0.8,Decision Tree,ngrams,None,0.7167630057803468,4
380,0.8,Random Forest,ngrams,None,0.3583815028901734,4
381,0.8,AdaBoost,ngrams,None,0.6705202312138728,4
382,0.8,Naive Bayes,ngrams,None,0.7052023121387283,4
383,0.8,LDA,ngrams,None,0.6184971098265896,4
384,0.9,Nearest Neighbors,ngrams,None,0.653179190751445,4
385,0.9,Linear SVM,ngrams,None,0.7803468208092486,4
386,0.9,RBF SVM,ngrams,None,0.35260115606936415,4
387,0.9,Decision Tree,ngrams,None,0.7052023121387283,4
388,0.9,Random Forest,ngrams,None,0.3699421965317919,4
389,0.9,AdaBoost,ngrams,None,0.6589595375722543,4
390,0.9,Naive Bayes,ngrams,None,0.7514450867052023,4
391,0.9,LDA,ngrams,None,0.6127167630057804,4
392,1.0,Nearest Neighbors,ngrams,None,0.6763005780346821,4
393,1.0,Linear SVM,ngrams,None,0.791907514450867,4
394,1.0,RBF SVM,ngrams,None,0.35260115606936415,4
395,1.0,Decision Tree,ngrams,None,0.7052023121387283,4
396,1.0,Random Forest,ngrams,None,0.3699421965317919,4
397,1.0,AdaBoost,ngrams,None,0.5953757225433526,4
398,1.0,Naive Bayes,ngrams,None,0.7283236994219653,4
399,1.0,LDA,ngrams,None,0.6184971098265896,4
400,0.1,Nearest Neighbors,ngrams,None,0.5290697674418605,5
401,0.1,Linear SVM,ngrams,None,0.7034883720930233,5
402,0.1,RBF SVM,ngrams,None,0.3546511627906977,5
403,0.1,Decision Tree,ngrams,None,0.6569767441860465,5
404,0.1,Random Forest,ngrams,None,0.3546511627906977,5
405,0.1,AdaBoost,ngrams,None,0.5465116279069767,5
406,0.1,Naive Bayes,ngrams,None,0.5813953488372093,5
407,0.1,LDA,ngrams,None,0.43023255813953487,5
408,0.2,Nearest Neighbors,ngrams,None,0.5988372093023255,5
409,0.2,Linear SVM,ngrams,None,0.7034883720930233,5
410,0.2,RBF SVM,ngrams,None,0.3546511627906977,5
411,0.2,Decision Tree,ngrams,None,0.6976744186046512,5
412,0.2,Random Forest,ngrams,None,0.36046511627906974,5
413,0.2,AdaBoost,ngrams,None,0.6046511627906976,5
414,0.2,Naive Bayes,ngrams,None,0.6744186046511628,5
415,0.2,LDA,ngrams,None,0.5697674418604651,5
416,0.30000000000000004,Nearest Neighbors,ngrams,None,0.6627906976744186,5
417,0.30000000000000004,Linear SVM,ngrams,None,0.7325581395348837,5
418,0.30000000000000004,RBF SVM,ngrams,None,0.3546511627906977,5
419,0.30000000000000004,Decision Tree,ngrams,None,0.7093023255813954,5
420,0.30000000000000004,Random Forest,ngrams,None,0.37209302325581395,5
421,0.30000000000000004,AdaBoost,ngrams,None,0.6453488372093024,5
422,0.30000000000000004,Naive Bayes,ngrams,None,0.6918604651162791,5
423,0.30000000000000004,LDA,ngrams,None,0.5930232558139535,5
424,0.4,Nearest Neighbors,ngrams,None,0.686046511627907,5
425,0.4,Linear SVM,ngrams,None,0.7151162790697675,5
426,0.4,RBF SVM,ngrams,None,0.3546511627906977,5
427,0.4,Decision Tree,ngrams,None,0.7151162790697675,5
428,0.4,Random Forest,ngrams,None,0.3546511627906977,5
429,0.4,AdaBoost,ngrams,None,0.6686046511627907,5
430,0.4,Naive Bayes,ngrams,None,0.6627906976744186,5
431,0.4,LDA,ngrams,None,0.6453488372093024,5
432,0.5,Nearest Neighbors,ngrams,None,0.5988372093023255,5
