,amount,feature_name,result,split
390,0.9,ngrams,0.7588235294117647,7
391,0.9,+has_malay_road_tag,0.7823529411764706,7
392,0.9,+num_words,0.7823529411764706,7
393,0.9,+ave_word_length,0.7647058823529411,7
394,0.9,+all_words_in_dict,0.8058823529411765,7
395,1.0,ngrams,0.7705882352941177,7
396,1.0,+has_malay_road_tag,0.7823529411764706,7
397,1.0,+num_words,0.788235294117647,7
398,1.0,+ave_word_length,0.788235294117647,7
399,1.0,+all_words_in_dict,0.7941176470588235,7
400,0.1,ngrams,0.6094674556213018,8
401,0.1,+has_malay_road_tag,0.6449704142011834,8
402,0.1,+num_words,0.6568047337278107,8
403,0.1,+ave_word_length,0.6568047337278107,8
404,0.1,+all_words_in_dict,0.6923076923076923,8
405,0.2,ngrams,0.6804733727810651,8
406,0.2,+has_malay_road_tag,0.7041420118343196,8
407,0.2,+num_words,0.6982248520710059,8
408,0.2,+ave_word_length,0.7041420118343196,8
409,0.2,+all_words_in_dict,0.7514792899408284,8
410,0.30000000000000004,ngrams,0.591715976331361,8
411,0.30000000000000004,+has_malay_road_tag,0.6449704142011834,8
412,0.30000000000000004,+num_words,0.650887573964497,8
413,0.30000000000000004,+ave_word_length,0.6568047337278107,8
414,0.30000000000000004,+all_words_in_dict,0.727810650887574,8
415,0.4,ngrams,0.7041420118343196,8
416,0.4,+has_malay_road_tag,0.7218934911242604,8
417,0.4,+num_words,0.727810650887574,8
418,0.4,+ave_word_length,0.7337278106508875,8
419,0.4,+all_words_in_dict,0.7692307692307693,8
420,0.5,ngrams,0.650887573964497,8
421,0.5,+has_malay_road_tag,0.6863905325443787,8
422,0.5,+num_words,0.6923076923076923,8
423,0.5,+ave_word_length,0.6923076923076923,8
424,0.5,+all_words_in_dict,0.7455621301775148,8
425,0.6,ngrams,0.6804733727810651,8
426,0.6,+has_malay_road_tag,0.727810650887574,8
427,0.6,+num_words,0.7218934911242604,8
428,0.6,+ave_word_length,0.7218934911242604,8
429,0.6,+all_words_in_dict,0.7751479289940828,8
430,0.7000000000000001,ngrams,0.6923076923076923,8
431,0.7000000000000001,+has_malay_road_tag,0.7041420118343196,8
432,0.7000000000000001,+num_words,0.7100591715976331,8
433,0.7000000000000001,+ave_word_length,0.7041420118343196,8
434,0.7000000000000001,+all_words_in_dict,0.7514792899408284,8
435,0.8,ngrams,0.6745562130177515,8
436,0.8,+has_malay_road_tag,0.6863905325443787,8
437,0.8,+num_words,0.6863905325443787,8
438,0.8,+ave_word_length,0.6863905325443787,8
439,0.8,+all_words_in_dict,0.727810650887574,8
440,0.9,ngrams,0.6745562130177515,8
441,0.9,+has_malay_road_tag,0.6923076923076923,8
442,0.9,+num_words,0.6982248520710059,8
443,0.9,+ave_word_length,0.7100591715976331,8
444,0.9,+all_words_in_dict,0.7514792899408284,8
445,1.0,ngrams,0.6804733727810651,8
